order_id,order_purchase_timestamp,order_approved_at,seller_dispatch_time,customer_delivery_time
e481f5f2d6af7,02/10/2021 10:56,02/10/2021 11:07,Fast,Fast
949d5b7b45f8a,18/11/2021 19:28,18/11/2021 19:45,Fast,Fast
a4591c2d8acc3,09/07/2021 21:57,09/07/2021 22:10,Fast,Fast
6514b8245783f,16/05/2021 13:10,16/05/2021 13:22,Fast,Fast
76c6e8852dc33,23/01/2021 18:29,25/01/2021 02:50,Fast,Fast
e69bfb7e16dbf,29/07/2021 11:55,29/07/2021 12:05,Fast,Fast
e6ce166118aeb,16/05/2021 19:41,16/05/2021 19:50,Fast,Fast
34513c89c7edb,13/07/2021 19:58,13/07/2021 20:10,Fast,Fast
403b971062e5f,02/01/2022 19:00,02/01/2022 19:09,Fast,Fast
116f0bbee0cdf,26/12/2021 23:41,26/12/2021 23:50,Fast,Fast
85ce850444043,21/11/2021 00:03,21/11/2021 00:14,Fast,Fast
83018eb4e926f,26/10/2021 15:54,26/10/2021 16:08,Fast,Fast
203096e2bcfb7,18/09/2021 14:31,19/09/2021 04:04,Delay,Delay
95266ddac78d5,08/01/2022 07:55,08/01/2022 08:07,Fast,Fast
f70a0a28bd354,10/08/2021 11:58,12/08/2021 02:45,Delay,Fast
9892251de2ae7,12/12/2021 13:56,14/12/2021 13:54,Fast,Fast
5acce5641a69d,31/07/2021 21:37,02/08/2021 02:56,Fast,Fast
1e7aff48c3699,19/05/2021 18:53,19/05/2021 19:05,Fast,Fast
6ea2f8b3b95e8,24/11/2021 21:27,25/11/2021 00:21,Delay,Delay
9480975e58919,04/08/2021 17:10,04/08/2021 17:25,Fast,Fast
6ebaec887c032,18/05/2021 13:55,18/05/2021 14:05,Fast,Fast
d17dc43a6be56,14/05/2021 20:28,14/05/2021 20:42,Fast,Fast
2ce1adac725aa,09/08/2021 20:19,11/08/2021 04:15,Fast,Fast
641fb0bb9dc52,15/12/2021 00:06,15/12/2021 00:14,Fast,Fast
e42568773c584,31/08/2021 08:15,31/08/2021 08:30,Fast,Fast
a685d0070e398,13/03/2021 18:14,13/03/2021 18:14,Delay,Delay
2edfd6224d855,13/06/2021 21:11,15/06/2021 03:05,Fast,Fast
68873cdb5af1a,30/11/2021 22:02,02/12/2021 02:51,Fast,Fast
8f06cc5f1198d,15/11/2021 11:31,15/11/2021 11:46,Fast,Fast
f27157cd3a6f8,07/01/2022 21:44,07/01/2022 21:51,Fast,Fast
a6aeb1b71ffef,13/09/2021 14:27,13/09/2021 14:44,Fast,Fast
974c193c2308d,20/02/2021 11:45,22/02/2021 03:10,Fast,Fast
82bce2ff70644,20/04/2021 17:15,21/04/2021 05:15,Fast,Fast
a910f52d377b9,15/09/2021 09:19,15/09/2021 09:35,Fast,Fast
634e8f70ac6aa,09/08/2021 18:32,09/08/2021 18:45,Fast,Fast
b8801c903d74a,30/07/2021 03:06,30/07/2021 03:25,Fast,Fast
2711a9a2784aa,22/12/2021 00:17,23/12/2021 02:15,Fast,Fast
3bc77ca402d1a,06/04/2021 22:39,06/04/2021 22:50,Fast,Fast
10c32013128c6,09/05/2021 20:48,09/05/2021 21:02,Fast,Fast
0a4a2f87a595b,20/04/2021 20:42,20/04/2021 20:55,Fast,Fast
e4de6d6e9f635,16/10/2021 14:56,17/10/2021 03:49,Delay,Fast
6b860b14ec5f6,08/12/2021 09:42,09/12/2021 02:49,Fast,Fast
