order_id,payment_type,payment_installments,total_payment_value
e481f5f2d6af7,"credit_card, voucher, voucher",1,38.71
949d5b7b45f8a,credit_card,1,72.20
a4591c2d8acc3,credit_card,6,175.26
6514b8245783f,credit_card,3,75.16
76c6e8852dc33,boleto_ticket,1,35.95
e69bfb7e16dbf,"voucher, credit_card",1,169.76
e6ce166118aeb,credit_card,1,259.06
34513c89c7edb,credit_card,1,114.13
403b971062e5f,credit_card,10,"1,376.45"
116f0bbee0cdf,credit_card,4,43.09
85ce850444043,credit_card,1,29.75
83018eb4e926f,"voucher, voucher, credit_card",1,92.97
203096e2bcfb7,boleto_ticket,1,118.86
95266ddac78d5,credit_card,3,187.57
f70a0a28bd354,boleto_ticket,1,313.19
9892251de2ae7,credit_card,1,63.10
5acce5641a69d,boleto_ticket,1,43.00
1e7aff48c3699,credit_card,4,154.19
6ea2f8b3b95e8,credit_card,10,356.12
9480975e58919,credit_card,9,95.67
6ebaec887c032,credit_card,7,153.72
d17dc43a6be56,credit_card,1,54.82
2ce1adac725aa,boleto_ticket,1,130.56
641fb0bb9dc52,credit_card,10,386.33
e42568773c584,credit_card,1,50.25
a685d0070e398,boleto_ticket,1,99.26
2edfd6224d855,boleto_ticket,1,141.15
68873cdb5af1a,boleto_ticket,1,91.66
8f06cc5f1198d,credit_card,9,317.34
f27157cd3a6f8,credit_card,4,824.76
a6aeb1b71ffef,credit_card,1,59.34
974c193c2308d,boleto_ticket,1,84.56
82bce2ff70644,boleto_ticket,1,267.80
a910f52d377b9,credit_card,5,145.66
634e8f70ac6aa,"voucher, credit_card",1,234.28
b8801c903d74a,credit_card,2,27.77
2711a9a2784aa,boleto_ticket,1,59.10
3bc77ca402d1a,credit_card,1,66.98
10c32013128c6,credit_card,3,132.26
0a4a2f87a595b,credit_card,5,63.34
e4de6d6e9f635,boleto_ticket,1,231.12
6b860b14ec5f6,boleto_ticket,1,574.36
ec341caa7579b,credit_card,2,29.92
20e0106949685,credit_card,5,105.56
d3d678a1dd5e3,credit_card,7,76.65
8447ffb1dae03,boleto_ticket,1,238.69
6a0a8b5e0867f,credit_card,5,101.74
f7959fa1c9fc4,"voucher, credit_card",1,28.86
e346cd9a5e376,credit_card,3,42.59
a6cd68f8116d3,credit_card,6,609.90
e1da83bf1af54,boleto_ticket,1,253.40
af5b0626ef39d,voucher,1,28.62
9d531c4d8731f,credit_card,4,40.09
8fc207690272a,credit_card,5,135.51
4b3a60ce6b9f0,credit_card,1,38.10
1c35ac3d6eccb,credit_card,7,74.03
01a75a7c29234,credit_card,5,58.00
ee0c5c80ebf85,voucher,1,53.20
35660ae0e6255,credit_card,3,155.00
b01875f971bce,credit_card,10,142.16
06a6625fee0a2,credit_card,1,113.62
544716f4906b3,credit_card,1,161.77
01855ffcf2e02,credit_card,2,95.52
741fd186769b8,credit_card,1,106.38
e6190d46eaec8,credit_card,2,89.88
f3760819ca32e,credit_card,1,309.72
e9ce529eab10a,boleto_ticket,1,312.91
aeb4c9c43bd70,credit_card,1,22.79
9885ff292a3db,boleto_ticket,1,156.67
e7a651c0b81fb,credit_card,5,53.83
62a12ed79bf52,credit_card,10,299.72
04a59f95ed53c,credit_card,1,75.18
86b376b73fa14,boleto_ticket,1,161.30
abc5ecc29a8c0,credit_card,1,141.06
c3cb4c5baf05d,boleto_ticket,1,134.58
af66c4eb67d81,credit_card,1,59.85
265f4ebbe7343,credit_card,1,64.74
34276836c624c,credit_card,5,217.78
556bbfdd444a6,credit_card,6,67.50
1370fa18b7c8a,credit_card,8,145.50
0dad6b9089900,credit_card,6,110.89
6245aec0ea69b,credit_card,1,74.74
